CO_CURSO,CO_AREA,NM_AREA
1204017,3,Ciências Sociais
1053580,3,Ciências Sociais
29496,5,Engenharia
1428728,4,Ciências
1200668,4,Ciências
117747,7,Saúde e Bem-Estar
98560,1,Educação
45763,1,Educação
16595,3,Ciências Sociais
10352,5,Engenharia
21309,8,Serviços
48183,3,Ciências Sociais
92507,1,Educação
60082,3,Ciências Sociais
8677,6,Agricultura e Veterinária
1205356,5,Engenharia
51674,3,Ciências Sociais
1258528,1,Educação
107894,3,Ciências Sociais
1304978,5,Engenharia
119090,2,Humanidades e Artes
108496,8,Serviços
614,4,Ciências
75398,3,Ciências Sociais
72714,4,Ciências
1043151,3,Ciências Sociais
71043,3,Ciências Sociais
18459,3,Ciências Sociais
71419,1,Educação
2691,5,Engenharia
1259158,1,Educação
1128911,1,Educação
75913,3,Ciências Sociais
1165971,4,Ciências
89291,3,Ciências Sociais
87380,5,Engenharia
98406,7,Saúde e Bem-Estar
98229,1,Educação
10793,1,Educação
1292422,5,Engenharia
1363811,8,Serviços
119894,7,Saúde e Bem-Estar
99158,3,Ciências Sociais
1330493,5,Engenharia
5000142,8,Serviços
45947,3,Ciências Sociais
121425,7,Saúde e Bem-Estar
1303971,1,Educação
311593,4,Ciências
1204585,4,Ciências
41065,1,Educação
1202819,7,Saúde e Bem-Estar
67118,3,Ciências Sociais
1321983,8,Serviços
1105314,7,Saúde e Bem-Estar
13194,5,Engenharia
67774,3,Ciências Sociais
19241,4,Ciências
1118991,3,Ciências Sociais
1258629,5,Engenharia
1050053,4,Ciências
64061,4,Ciências
104292,1,Educação
1306686,5,Engenharia
1112026,3,Ciências Sociais
98013,4,Ciências
107920,4,Ciências
1284322,3,Ciências Sociais
71433,7,Saúde e Bem-Estar
59382,5,Engenharia
1357793,1,Educação
1157851,3,Ciências Sociais
1382773,1,Educação
1212319,1,Educação
1282931,8,Serviços
317270,2,Humanidades e Artes
45121,2,Humanidades e Artes
3668,5,Engenharia
1259159,3,Ciências Sociais
1129806,4,Ciências
19049,7,Saúde e Bem-Estar
18363,1,Educação
47716,5,Engenharia
52852,3,Ciências Sociais
122202,4,Ciências
105414,1,Educação
1123253,5,Engenharia
96300,5,Engenharia
60986,1,Educação
1184492,5,Engenharia
18321,3,Ciências Sociais
23326,3,Ciências Sociais
44367,1,Educação
115768,2,Humanidades e Artes
5001376,3,Ciências Sociais
72501,3,Ciências Sociais
150151,5,Engenharia
1166893,3,Ciências Sociais
1366556,3,Ciências Sociais
32964,3,Ciências Sociais
55276,1,Educação
1191219,1,Educação
1382664,4,Ciências
118697,6,Agricultura e Veterinária
5382,3,Ciências Sociais
1192188,7,Saúde e Bem-Estar
114562,1,Educação
94758,1,Educação
28159,3,Ciências Sociais
1107916,8,Serviços
1181042,1,Educação
80797,3,Ciências Sociais
6616,3,Ciências Sociais
40958,5,Engenharia
1270282,5,Engenharia
1303434,5,Engenharia
1262906,5,Engenharia
55412,2,Humanidades e Artes
63911,4,Ciências
1153104,5,Engenharia
1267045,4,Ciências
73432,1,Educação
1130126,3,Ciências Sociais
50464,5,Engenharia
1161409,5,Engenharia
1179194,1,Educação
120385,4,Ciências
1268503,1,Educação
1363718,5,Engenharia
75611,3,Ciências Sociais
121344,7,Saúde e Bem-Estar
103349,4,Ciências
1284961,7,Saúde e Bem-Estar
1116093,4,Ciências
63826,8,Serviços
105790,3,Ciências Sociais
118390,7,Saúde e Bem-Estar
47813,3,Ciências Sociais
120477,4,Ciências
1304510,8,Serviços
14121,1,Educação
18587,3,Ciências Sociais
13595,4,Ciências
85154,1,Educação
1419473,3,Ciências Sociais
1300314,5,Engenharia
1130274,4,Ciências
11324,1,Educação
91591,2,Humanidades e Artes
111462,3,Ciências Sociais
1136664,1,Educação
78994,3,Ciências Sociais
8161,3,Ciências Sociais
102560,5,Engenharia
109873,1,Educação
1110906,3,Ciências Sociais
1069445,1,Educação
5796,1,Educação
21806,1,Educação
101700,4,Ciências
121872,4,Ciências
1305063,7,Saúde e Bem-Estar
150,1,Educação
68402,7,Saúde e Bem-Estar
56376,4,Ciências
1203784,5,Engenharia
63028,3,Ciências Sociais
1204663,3,Ciências Sociais
1152516,5,Engenharia
18440,7,Saúde e Bem-Estar
7261,1,Educação
121597,1,Educação
49383,3,Ciências Sociais
53592,4,Ciências
16827,7,Saúde e Bem-Estar
5609,1,Educação
1212338,1,Educação
1321969,7,Saúde e Bem-Estar
7463,3,Ciências Sociais
116218,1,Educação
8013,3,Ciências Sociais
1332666,4,Ciências
1170114,7,Saúde e Bem-Estar
120132,4,Ciências
1284981,1,Educação
1204952,7,Saúde e Bem-Estar
1166817,3,Ciências Sociais
1152477,1,Educação
96743,3,Ciências Sociais
84657,7,Saúde e Bem-Estar
58624,3,Ciências Sociais
1136373,1,Educação
101804,4,Ciências
104302,5,Engenharia
1203636,3,Ciências Sociais
1136406,8,Serviços
2113,6,Agricultura e Veterinária
1259890,5,Engenharia
7306,3,Ciências Sociais
120906,3,Ciências Sociais
1205015,2,Humanidades e Artes
1137483,3,Ciências Sociais
1146686,7,Saúde e Bem-Estar
1128355,5,Engenharia
60838,2,Humanidades e Artes
101184,1,Educação
123365,1,Educação
119958,3,Ciências Sociais
27263,1,Educação
108198,3,Ciências Sociais
17015,3,Ciências Sociais
1081610,4,Ciências
1053160,3,Ciências Sociais
5000238,5,Engenharia
1304843,5,Engenharia
1259140,5,Engenharia
1199645,7,Saúde e Bem-Estar
80507,1,Educação
67533,3,Ciências Sociais
1377510,5,Engenharia
1379388,5,Engenharia
4891,2,Humanidades e Artes
24510,4,Ciências
43193,4,Ciências
112432,4,Ciências
89002,4,Ciências
19777,3,Ciências Sociais
118320,3,Ciências Sociais
114180,1,Educação
1156620,1,Educação
47123,3,Ciências Sociais
1117318,5,Engenharia
100152,4,Ciências
6568,1,Educação
120575,1,Educação
1323580,7,Saúde e Bem-Estar
119012,1,Educação
36206,1,Educação
121884,5,Engenharia
66791,3,Ciências Sociais
1193456,5,Engenharia
90737,6,Agricultura e Veterinária
102638,6,Agricultura e Veterinária
96105,3,Ciências Sociais
1269879,8,Serviços
51381,1,Educação
72846,4,Ciências
96216,8,Serviços
97073,5,Engenharia
53554,3,Ciências Sociais
101951,5,Engenharia
1170432,7,Saúde e Bem-Estar
112806,1,Educação
1258288,3,Ciências Sociais
105281,3,Ciências Sociais
5000193,5,Engenharia
41622,8,Serviços
13438,5,Engenharia
2298,6,Agricultura e Veterinária
74060,7,Saúde e Bem-Estar
10076,3,Ciências Sociais
64587,3,Ciências Sociais
48192,3,Ciências Sociais
94848,3,Ciências Sociais
1106330,7,Saúde e Bem-Estar
55224,3,Ciências Sociais
392254,2,Humanidades e Artes
8554,7,Saúde e Bem-Estar
1283770,1,Educação
1382760,3,Ciências Sociais
4760,3,Ciências Sociais
75568,3,Ciências Sociais
1149044,3,Ciências Sociais
1159084,5,Engenharia
91219,7,Saúde e Bem-Estar
1260474,5,Engenharia
34621,5,Engenharia
5001093,5,Engenharia
98612,1,Educação
2388,3,Ciências Sociais
1322142,1,Educação
41980,7,Saúde e Bem-Estar
1259128,3,Ciências Sociais
22508,1,Educação
1168331,3,Ciências Sociais
117756,4,Ciências
1363208,1,Educação
1321295,3,Ciências Sociais
119866,3,Ciências Sociais
1428,1,Educação
64579,2,Humanidades e Artes
79537,4,Ciências
50852,3,Ciências Sociais
71305,4,Ciências
1165139,3,Ciências Sociais
3418,7,Saúde e Bem-Estar
5001286,7,Saúde e Bem-Estar
91811,7,Saúde e Bem-Estar
306,3,Ciências Sociais
1327324,3,Ciências Sociais
1189947,5,Engenharia
110275,5,Engenharia
1323484,1,Educação
5277,7,Saúde e Bem-Estar
16530,3,Ciências Sociais
1113241,4,Ciências
6128,5,Engenharia
1328869,3,Ciências Sociais
121393,1,Educação
1180809,3,Ciências Sociais
95933,3,Ciências Sociais
1313064,7,Saúde e Bem-Estar
63080,4,Ciências
9470,4,Ciências
100726,1,Educação
1330342,1,Educação
1188232,3,Ciências Sociais
1279434,3,Ciências Sociais
1265988,2,Humanidades e Artes
67873,3,Ciências Sociais
5679,1,Educação
111984,3,Ciências Sociais
20747,3,Ciências Sociais
5000430,7,Saúde e Bem-Estar
1259946,6,Agricultura e Veterinária
20484,2,Humanidades e Artes
1344117,5,Engenharia
27111,3,Ciências Sociais
74775,7,Saúde e Bem-Estar
1153356,3,Ciências Sociais
308057,3,Ciências Sociais
1204912,3,Ciências Sociais
112982,4,Ciências
1192239,3,Ciências Sociais
1401621,1,Educação
72879,4,Ciências
1101114,1,Educação
150209,4,Ciências
1156501,3,Ciências Sociais
1077039,3,Ciências Sociais
57682,3,Ciências Sociais
1007584,3,Ciências Sociais
108723,7,Saúde e Bem-Estar
18976,8,Serviços
1330698,4,Ciências
112846,4,Ciências
1150282,5,Engenharia
107109,7,Saúde e Bem-Estar
83390,1,Educação
115092,1,Educação
1287434,8,Serviços
117066,5,Engenharia
1304669,1,Educação
38059,5,Engenharia
16158,1,Educação
48392,2,Humanidades e Artes
116364,3,Ciências Sociais
101318,4,Ciências
122252,1,Educação
109871,1,Educação
80206,8,Serviços
53205,3,Ciências Sociais
59806,3,Ciências Sociais
74649,1,Educação
17631,5,Engenharia
46278,7,Saúde e Bem-Estar
3397,1,Educação
35167,2,Humanidades e Artes
112568,1,Educação
88662,7,Saúde e Bem-Estar
1181261,5,Engenharia
67545,2,Humanidades e Artes
58813,7,Saúde e Bem-Estar
1117819,8,Serviços
21647,8,Serviços
116962,1,Educação
1298923,5,Engenharia
99182,2,Humanidades e Artes
104866,8,Serviços
120446,4,Ciências
1142090,1,Educação
21763,3,Ciências Sociais
2675,1,Educação
88620,3,Ciências Sociais
45539,3,Ciências Sociais
23231,3,Ciências Sociais
1101270,7,Saúde e Bem-Estar
310154,4,Ciências
12329,7,Saúde e Bem-Estar
21339,3,Ciências Sociais
81358,1,Educação
1135866,3,Ciências Sociais
1397772,7,Saúde e Bem-Estar
122148,3,Ciências Sociais
62406,7,Saúde e Bem-Estar
31279,3,Ciências Sociais
123539,4,Ciências
1048611,1,Educação
118392,4,Ciências
103924,5,Engenharia
1155362,6,Agricultura e Veterinária
1363837,5,Engenharia
75394,3,Ciências Sociais
1163263,1,Educação
90420,3,Ciências Sociais
13118,7,Saúde e Bem-Estar
1332336,3,Ciências Sociais
1103487,1,Educação
49241,3,Ciências Sociais
20047,1,Educação
54330,7,Saúde e Bem-Estar
1286516,3,Ciências Sociais
1070750,3,Ciências Sociais
109566,7,Saúde e Bem-Estar
1058518,3,Ciências Sociais
65651,3,Ciências Sociais
108458,7,Saúde e Bem-Estar
3212,1,Educação
113413,5,Engenharia
1292749,4,Ciências
13199,7,Saúde e Bem-Estar
67057,3,Ciências Sociais
16720,3,Ciências Sociais
44662,7,Saúde e Bem-Estar
1055547,3,Ciências Sociais
105894,5,Engenharia
118680,5,Engenharia
1150396,3,Ciências Sociais
1330714,5,Engenharia
1341016,5,Engenharia
1330697,7,Saúde e Bem-Estar
118732,3,Ciências Sociais
91763,1,Educação
82032,7,Saúde e Bem-Estar
1304849,7,Saúde e Bem-Estar
1111972,4,Ciências
5001360,3,Ciências Sociais
118006,1,Educação
20051,7,Saúde e Bem-Estar
36133,5,Engenharia
115162,1,Educação
1180765,7,Saúde e Bem-Estar
1331611,4,Ciências
1893,1,Educação
1153960,4,Ciências
5000217,5,Engenharia
1399318,5,Engenharia
54780,1,Educação
5206,7,Saúde e Bem-Estar
1304539,5,Engenharia
1185443,5,Engenharia
60548,3,Ciências Sociais
1315387,3,Ciências Sociais
20612,3,Ciências Sociais
20122,1,Educação
34620,5,Engenharia
1165313,5,Engenharia
1127924,1,Educação
1260516,5,Engenharia
47957,3,Ciências Sociais
1205563,5,Engenharia
1103304,1,Educação
97796,7,Saúde e Bem-Estar
1364756,3,Ciências Sociais
95181,7,Saúde e Bem-Estar
123549,4,Ciências
110659,7,Saúde e Bem-Estar
1336577,1,Educação
86082,4,Ciências
75837,7,Saúde e Bem-Estar
90971,6,Agricultura e Veterinária
1326482,7,Saúde e Bem-Estar
9133,1,Educação
117905,5,Engenharia
72863,1,Educação
76892,3,Ciências Sociais
44525,3,Ciências Sociais
111148,3,Ciências Sociais
66397,3,Ciências Sociais
12809,5,Engenharia
61702,1,Educação
1284972,7,Saúde e Bem-Estar
1182945,5,Engenharia
80877,1,Educação
1327524,1,Educação
12315,1,Educação
1166222,3,Ciências Sociais
1168817,3,Ciências Sociais
123633,2,Humanidades e Artes
95557,2,Humanidades e Artes
5000463,7,Saúde e Bem-Estar
90533,3,Ciências Sociais
1279683,5,Engenharia
1351703,4,Ciências
1168609,6,Agricultura e Veterinária
112038,3,Ciências Sociais
12820,3,Ciências Sociais
1108153,7,Saúde e Bem-Estar
1203999,3,Ciências Sociais
1375996,2,Humanidades e Artes
21290,5,Engenharia
12915,1,Educação
1113231,5,Engenharia
20025,3,Ciências Sociais
10059,4,Ciências
10484,3,Ciências Sociais
109498,3,Ciências Sociais
107564,6,Agricultura e Veterinária
117881,7,Saúde e Bem-Estar
1343826,1,Educação
1321756,4,Ciências
73537,7,Saúde e Bem-Estar
100071,7,Saúde e Bem-Estar
1268886,2,Humanidades e Artes
1202316,8,Serviços
1321336,1,Educação
1257743,2,Humanidades e Artes
41687,1,Educação
150190,7,Saúde e Bem-Estar
1190565,7,Saúde e Bem-Estar
94943,3,Ciências Sociais
1149920,3,Ciências Sociais
121348,7,Saúde e Bem-Estar
47922,3,Ciências Sociais
89018,1,Educação
11303,1,Educação
117106,7,Saúde e Bem-Estar
89309,3,Ciências Sociais
67586,7,Saúde e Bem-Estar
1313389,3,Ciências Sociais
119908,5,Engenharia
56452,3,Ciências Sociais
1167795,3,Ciências Sociais
1151559,5,Engenharia
1728,6,Agricultura e Veterinária
48812,3,Ciências Sociais
1212316,1,Educação
1327342,7,Saúde e Bem-Estar
47708,7,Saúde e Bem-Estar
1342446,6,Agricultura e Veterinária
50780,3,Ciências Sociais
2909,6,Agricultura e Veterinária
1332782,3,Ciências Sociais
121230,8,Serviços
100804,7,Saúde e Bem-Estar
1131840,4,Ciências
1135069,3,Ciências Sociais
48437,4,Ciências
1258861,8,Serviços
112582,4,Ciências
64536,7,Saúde e Bem-Estar
53037,3,Ciências Sociais
1330896,4,Ciências
1101882,3,Ciências Sociais
1136638,3,Ciências Sociais
1322280,5,Engenharia
13989,5,Engenharia
108800,3,Ciências Sociais
104370,3,Ciências Sociais
22173,1,Educação
89824,3,Ciências Sociais
1111237,5,Engenharia
1321654,5,Engenharia
122864,4,Ciências
75590,1,Educação
1120561,6,Agricultura e Veterinária
15644,7,Saúde e Bem-Estar
95375,3,Ciências Sociais
1284139,5,Engenharia
1403871,8,Serviços
1321291,3,Ciências Sociais
14092,7,Saúde e Bem-Estar
51829,3,Ciências Sociais
117472,1,Educação
1353147,4,Ciências
485,7,Saúde e Bem-Estar
112474,3,Ciências Sociais
1313179,1,Educação
869,7,Saúde e Bem-Estar
44281,7,Saúde e Bem-Estar
1148867,3,Ciências Sociais
1179300,1,Educação
59158,4,Ciências
75613,3,Ciências Sociais
1397773,7,Saúde e Bem-Estar
14830,1,Educação
1258643,5,Engenharia
75138,3,Ciências Sociais
67666,3,Ciências Sociais
55435,3,Ciências Sociais
1178747,1,Educação
88246,7,Saúde e Bem-Estar
1070320,5,Engenharia
1313063,3,Ciências Sociais
118984,4,Ciências
18631,1,Educação
79642,7,Saúde e Bem-Estar
119184,1,Educação
88416,5,Engenharia
1442020,1,Educação
77329,2,Humanidades e Artes
1186073,1,Educação
1205131,4,Ciências
1304724,1,Educação
74096,3,Ciências Sociais
54834,3,Ciências Sociais
82847,5,Engenharia
1078718,3,Ciências Sociais
1405683,5,Engenharia
1183667,2,Humanidades e Artes
85570,5,Engenharia
1349423,3,Ciências Sociais
100307,1,Educação
1734,3,Ciências Sociais
1303637,4,Ciências
98616,1,Educação
1103469,1,Educação
48110,3,Ciências Sociais
1125947,1,Educação
45005,3,Ciências Sociais
59659,1,Educação
318265,4,Ciências
72031,4,Ciências
103301,6,Agricultura e Veterinária
64238,3,Ciências Sociais
1117512,3,Ciências Sociais
18795,3,Ciências Sociais
16090,3,Ciências Sociais
59131,2,Humanidades e Artes
1205467,3,Ciências Sociais
94861,4,Ciências
72569,7,Saúde e Bem-Estar
96601,4,Ciências
1179247,5,Engenharia
91345,6,Agricultura e Veterinária
118122,1,Educação
1258863,3,Ciências Sociais
53149,3,Ciências Sociais
56744,1,Educação
1179164,3,Ciências Sociais
5001329,7,Saúde e Bem-Estar
1059197,5,Engenharia
1353343,3,Ciências Sociais
1160974,4,Ciências
1261663,1,Educação
1364335,4,Ciências
1431,3,Ciências Sociais
150186,7,Saúde e Bem-Estar
57784,3,Ciências Sociais
1442002,1,Educação
53331,4,Ciências
1303435,3,Ciências Sociais
1037,1,Educação
5001083,1,Educação
6489,7,Saúde e Bem-Estar
99236,3,Ciências Sociais
101418,4,Ciências
1193643,5,Engenharia
2884,7,Saúde e Bem-Estar
1331665,3,Ciências Sociais
83614,3,Ciências Sociais
1114349,3,Ciências Sociais
52163,7,Saúde e Bem-Estar
58224,3,Ciências Sociais
5000574,1,Educação
15738,1,Educação
114985,8,Serviços
14222,3,Ciências Sociais
75482,3,Ciências Sociais
1364592,7,Saúde e Bem-Estar
69914,3,Ciências Sociais
1284216,3,Ciências Sociais
1177679,5,Engenharia
109402,3,Ciências Sociais
1116908,3,Ciências Sociais
13709,5,Engenharia
1382815,1,Educação
5955,5,Engenharia
1276596,5,Engenharia
1259742,1,Educação
1268383,4,Ciências
122200,1,Educação
1055948,5,Engenharia
1258298,3,Ciências Sociais
1101836,5,Engenharia
21285,3,Ciências Sociais
1316073,1,Educação
82358,1,Educação
120682,4,Ciências
54864,3,Ciências Sociais
1259144,5,Engenharia
1186923,1,Educação
97181,3,Ciências Sociais
1272132,5,Engenharia
1154113,8,Serviços
5795,1,Educação
144,7,Saúde e Bem-Estar
1284874,2,Humanidades e Artes
102505,3,Ciências Sociais
1259114,5,Engenharia
1204738,3,Ciências Sociais
623,1,Educação
1111956,8,Serviços
18220,3,Ciências Sociais
1150400,3,Ciências Sociais
54170,1,Educação
1202517,5,Engenharia
38341,6,Agricultura e Veterinária
1314237,5,Engenharia
117623,3,Ciências Sociais
1150240,5,Engenharia
1190588,5,Engenharia
14230,1,Educação
99078,5,Engenharia
63876,2,Humanidades e Artes
112180,5,Engenharia
19300,1,Educação
54997,3,Ciências Sociais
68702,1,Educação
1116634,1,Educação
16534,2,Humanidades e Artes
1205524,7,Saúde e Bem-Estar
495,1,Educação
116092,5,Engenharia
5001361,2,Humanidades e Artes
86222,3,Ciências Sociais
27543,1,Educação
12942,5,Engenharia
18410,1,Educação
1042829,3,Ciências Sociais
2537,5,Engenharia
1282927,3,Ciências Sociais
1184882,8,Serviços
15608,4,Ciências
1185391,3,Ciências Sociais
50574,3,Ciências Sociais
1081418,3,Ciências Sociais
12721,5,Engenharia
5000372,4,Ciências
1105025,3,Ciências Sociais
101157,3,Ciências Sociais
1398182,4,Ciências
50611,3,Ciências Sociais
1308133,8,Serviços
1331464,4,Ciências
52933,1,Educação
99409,6,Agricultura e Veterinária
1086363,3,Ciências Sociais
1152520,4,Ciências
77031,3,Ciências Sociais
1376261,8,Serviços
1303647,7,Saúde e Bem-Estar
70356,5,Engenharia
120739,7,Saúde e Bem-Estar
1342611,3,Ciências Sociais
6423,5,Engenharia
75600,1,Educação
111370,5,Engenharia
116632,7,Saúde e Bem-Estar
104802,1,Educação
1205743,5,Engenharia
1135199,8,Serviços
8934,3,Ciências Sociais
114604,7,Saúde e Bem-Estar
1283943,3,Ciências Sociais
79700,3,Ciências Sociais
1128095,1,Educação
96103,3,Ciências Sociais
1313361,4,Ciências
38800,5,Engenharia
150273,6,Agricultura e Veterinária
1128671,3,Ciências Sociais
1193772,3,Ciências Sociais
1186553,5,Engenharia
2450,2,Humanidades e Artes
1303498,7,Saúde e Bem-Estar
103498,7,Saúde e Bem-Estar
20809,5,Engenharia
109819,3,Ciências Sociais
63379,4,Ciências
1382701,1,Educação
1103461,1,Educação
1189920,6,Agricultura e Veterinária
21770,3,Ciências Sociais
53491,1,Educação
1163297,3,Ciências Sociais
1258709,5,Engenharia
5000555,5,Engenharia
39845,3,Ciências Sociais
68063,6,Agricultura e Veterinária
1180759,2,Humanidades e Artes
89346,3,Ciências Sociais
79545,3,Ciências Sociais
89813,1,Educação
1304538,3,Ciências Sociais
99010,3,Ciências Sociais
123562,6,Agricultura e Veterinária
20974,7,Saúde e Bem-Estar
1259934,7,Saúde e Bem-Estar
1178686,5,Engenharia
98968,5,Engenharia
1213442,3,Ciências Sociais
116816,7,Saúde e Bem-Estar
12344,5,Engenharia
1214122,1,Educação
150017,3,Ciências Sociais
38850,5,Engenharia
1259145,2,Humanidades e Artes
1272012,4,Ciências
94819,3,Ciências Sociais
1180758,3,Ciências Sociais
122774,1,Educação
74104,1,Educação
18944,1,Educação
1421578,3,Ciências Sociais
80154,3,Ciências Sociais
1168078,7,Saúde e Bem-Estar
5000164,5,Engenharia
34123,2,Humanidades e Artes
92355,1,Educação
1322781,3,Ciências Sociais
1284575,2,Humanidades e Artes
85799,7,Saúde e Bem-Estar
1300081,4,Ciências
102254,4,Ciências
311243,2,Humanidades e Artes
97897,5,Engenharia
14369,7,Saúde e Bem-Estar
102208,7,Saúde e Bem-Estar
1327519,1,Educação
70771,4,Ciências
1173418,4,Ciências
2540,1,Educação
1114930,5,Engenharia
1342407,3,Ciências Sociais
108086,1,Educação
117392,1,Educação
86406,3,Ciências Sociais
83139,1,Educação
1076785,5,Engenharia
59013,5,Engenharia
1399057,4,Ciências
110493,3,Ciências Sociais
74282,4,Ciências
20560,7,Saúde e Bem-Estar
1187681,5,Engenharia
120134,3,Ciências Sociais
1127161,3,Ciências Sociais
1365546,3,Ciências Sociais
1105124,1,Educação
3161,7,Saúde e Bem-Estar
35042,2,Humanidades e Artes
1382951,3,Ciências Sociais
1333885,5,Engenharia
6681,8,Serviços
5000830,4,Ciências
117432,1,Educação
80026,3,Ciências Sociais
1127357,7,Saúde e Bem-Estar
1152816,5,Engenharia
1212357,1,Educação
86697,3,Ciências Sociais
1158378,7,Saúde e Bem-Estar
13995,7,Saúde e Bem-Estar
51322,1,Educação
120418,7,Saúde e Bem-Estar
67761,3,Ciências Sociais
22129,3,Ciências Sociais
1259728,1,Educação
13857,6,Agricultura e Veterinária
113824,1,Educação
1404086,1,Educação
1136479,7,Saúde e Bem-Estar
1071054,3,Ciências Sociais
1205070,3,Ciências Sociais
25926,1,Educação
112804,3,Ciências Sociais
1036842,7,Saúde e Bem-Estar
43080,1,Educação
150067,7,Saúde e Bem-Estar
1159087,3,Ciências Sociais
1059861,8,Serviços
1399251,5,Engenharia
1115285,4,Ciências
21284,3,Ciências Sociais
338994,1,Educação
1129541,5,Engenharia
38409,7,Saúde e Bem-Estar
5271,5,Engenharia
121077,3,Ciências Sociais
103636,3,Ciências Sociais
1117765,1,Educação
15773,3,Ciências Sociais
28489,3,Ciências Sociais
40430,7,Saúde e Bem-Estar
1151449,4,Ciências
59557,3,Ciências Sociais
83900,3,Ciências Sociais
1204320,1,Educação
114564,7,Saúde e Bem-Estar
1364755,3,Ciências Sociais
1108341,1,Educação
5742,7,Saúde e Bem-Estar
1183140,5,Engenharia
13433,3,Ciências Sociais
92001,4,Ciências
1177430,3,Ciências Sociais
54836,3,Ciências Sociais
1212513,1,Educação
1299954,8,Serviços
1172150,3,Ciências Sociais
87106,3,Ciências Sociais
19223,7,Saúde e Bem-Estar
100526,1,Educação
27713,1,Educação
94383,8,Serviços
66179,1,Educação
110450,3,Ciências Sociais
1313050,1,Educação
107836,4,Ciências
1153681,5,Engenharia
5000766,2,Humanidades e Artes
1075731,3,Ciências Sociais
79480,3,Ciências Sociais
100433,3,Ciências Sociais
21860,3,Ciências Sociais
1057700,6,Agricultura e Veterinária
9633,3,Ciências Sociais
1154746,7,Saúde e Bem-Estar
104726,1,Educação
5693,3,Ciências Sociais
1189755,1,Educação
114874,1,Educação
100086,5,Engenharia
294,5,Engenharia
1343885,6,Agricultura e Veterinária
68375,4,Ciências
150091,1,Educação
64807,7,Saúde e Bem-Estar
10336,3,Ciências Sociais
1259657,5,Engenharia
1115843,3,Ciências Sociais
1287375,3,Ciências Sociais
95767,1,Educação
20336,1,Educação
118412,5,Engenharia
95998,3,Ciências Sociais
12914,1,Educação
1279550,4,Ciências
16247,1,Educação
1205571,7,Saúde e Bem-Estar
5000732,2,Humanidades e Artes
117964,3,Ciências Sociais
45706,3,Ciências Sociais
1259306,5,Engenharia
20033,5,Engenharia
1181219,7,Saúde e Bem-Estar
102993,5,Engenharia
1158116,1,Educação
88448,5,Engenharia
108152,3,Ciências Sociais
15216,3,Ciências Sociais
10802,4,Ciências
1284668,3,Ciências Sociais
83101,3,Ciências Sociais
1279595,3,Ciências Sociais
95665,3,Ciências Sociais
107516,1,Educação
20907,3,Ciências Sociais
63960,7,Saúde e Bem-Estar
1099769,5,Engenharia
65437,1,Educação
67335,3,Ciências Sociais
1110365,1,Educação
116690,1,Educação
5000395,1,Educação
1161562,1,Educação
1105330,5,Engenharia
99252,3,Ciências Sociais
1153287,1,Educação
1284612,3,Ciências Sociais
107368,4,Ciências
102166,1,Educação
1105026,3,Ciências Sociais
1122127,3,Ciências Sociais
1284483,5,Engenharia
1280227,7,Saúde e Bem-Estar
1374867,3,Ciências Sociais
1140245,7,Saúde e Bem-Estar
1321671,5,Engenharia
98313,1,Educação
1120580,3,Ciências Sociais
92873,3,Ciências Sociais
1304024,7,Saúde e Bem-Estar
1101985,5,Engenharia
58238,8,Serviços
113415,4,Ciências
119186,5,Engenharia
2500100,1,Educação
1187275,3,Ciências Sociais
1204213,3,Ciências Sociais
112710,3,Ciências Sociais
1270693,1,Educação
1299203,5,Engenharia
43020,1,Educação
115992,5,Engenharia
1341949,1,Educação
1055329,3,Ciências Sociais
90829,3,Ciências Sociais
1110447,5,Engenharia
119335,5,Engenharia
83226,1,Educação
18741,6,Agricultura e Veterinária
1276952,5,Engenharia
781,3,Ciências Sociais
1199576,5,Engenharia
20111,2,Humanidades e Artes
1284880,7,Saúde e Bem-Estar
1258515,5,Engenharia
1283120,7,Saúde e Bem-Estar
1203659,5,Engenharia
102103,3,Ciências Sociais
1300157,2,Humanidades e Artes
13982,1,Educação
1047529,7,Saúde e Bem-Estar
91097,3,Ciências Sociais
1120733,4,Ciências
21850,5,Engenharia
1077402,1,Educação
120414,5,Engenharia
96809,4,Ciências
1202346,5,Engenharia
1108712,5,Engenharia
20732,7,Saúde e Bem-Estar
47556,3,Ciências Sociais
1259153,4,Ciências
1321666,7,Saúde e Bem-Estar
110000,1,Educação
47834,4,Ciências
1300333,3,Ciências Sociais
1363741,5,Engenharia
27733,1,Educação
112859,3,Ciências Sociais
112100,1,Educação
103288,4,Ciências
1208231,3,Ciências Sociais
3407,1,Educação
1279593,7,Saúde e Bem-Estar
83477,3,Ciências Sociais
68462,3,Ciências Sociais
52146,2,Humanidades e Artes
1349654,5,Engenharia
1259288,1,Educação
1152262,3,Ciências Sociais
405974,7,Saúde e Bem-Estar
1184349,3,Ciências Sociais
1154918,3,Ciências Sociais
1261265,3,Ciências Sociais
68522,5,Engenharia
1286514,3,Ciências Sociais
6848,7,Saúde e Bem-Estar
1285523,3,Ciências Sociais
102569,4,Ciências
1257929,2,Humanidades e Artes
29403,3,Ciências Sociais
1212483,1,Educação
318,3,Ciências Sociais
109205,1,Educação
117414,2,Humanidades e Artes
1276400,7,Saúde e Bem-Estar
1363508,1,Educação
1270439,7,Saúde e Bem-Estar
1266924,2,Humanidades e Artes
113617,5,Engenharia
1327341,8,Serviços
112360,1,Educação
